player,team,position,season,week,ppr_points
A.Rodgers,NYJ,QB,2023,1,0.0
M.Lewis,CHI,TE,2023,4,1.8
M.Lewis,CHI,TE,2023,7,2.6
M.Lewis,CHI,TE,2023,11,0.0
M.Lewis,CHI,TE,2023,14,1.4
M.Lewis,CHI,TE,2023,16,7.1
J.Flacco,CLE,QB,2023,13,16.16
J.Flacco,CLE,QB,2023,14,20.339999999999996
J.Flacco,CLE,QB,2023,15,16.86
J.Flacco,CLE,QB,2023,16,24.82
J.Flacco,CLE,QB,2023,17,22.66
J.Flacco,CLE,QB,2023,19,13.580000000000002
M.Stafford,LA,QB,2023,1,14.459999999999999
M.Stafford,LA,QB,2023,2,13.98
M.Stafford,LA,QB,2023,3,11.459999999999999
M.Stafford,LA,QB,2023,4,16.159999999999997
M.Stafford,LA,QB,2023,5,16.880000000000003
M.Stafford,LA,QB,2023,6,13.24
M.Stafford,LA,QB,2023,7,14.040000000000001
M.Stafford,LA,QB,2023,8,11.38
M.Stafford,LA,QB,2023,11,9.700000000000001
M.Stafford,LA,QB,2023,12,23.36
M.Stafford,LA,QB,2023,13,22.96
M.Stafford,LA,QB,2023,14,23.659999999999997
M.Stafford,LA,QB,2023,15,18.52
M.Stafford,LA,QB,2023,16,20.720000000000002
M.Stafford,LA,QB,2023,17,12.58
M.Stafford,LA,QB,2023,19,22.68
B.Hoyer,LV,QB,2023,6,3.7800000000000002
B.Hoyer,LV,QB,2023,7,1.1600000000000001
T.Morstead,NYJ,P,2023,11,0.72
J.Graham,NO,TE,2023,3,7.8
J.Graham,NO,TE,2023,5,0.0
J.Graham,NO,TE,2023,13,7.6
J.Graham,NO,TE,2023,14,9.6
J.Graham,NO,TE,2023,15,8.9
J.Jones,PHI,WR,2023,7,1.3
J.Jones,PHI,WR,2023,8,7.8
J.Jones,PHI,WR,2023,11,2.5
J.Jones,PHI,WR,2023,12,1.0
J.Jones,PHI,WR,2023,15,1.6
J.Jones,PHI,WR,2023,16,1.5
J.Jones,PHI,WR,2023,17,17.4
J.Jones,PHI,WR,2023,18,3.3
J.Jones,PHI,WR,2023,19,5.2
B.Gabbert,KC,QB,2023,3,-2.86
B.Gabbert,KC,QB,2023,18,8.760000000000002
A.Dalton,CAR,QB,2023,3,23.54
A.Dalton,CAR,QB,2023,5,0.1
R.Cobb,NYJ,WR,2023,1,0.0
R.Cobb,NYJ,WR,2023,2,0.0
R.Cobb,NYJ,WR,2023,3,2.2
R.Cobb,NYJ,WR,2023,4,2.8
R.Cobb,NYJ,WR,2023,5,0.0
R.Cobb,NYJ,WR,2023,6,2.0
R.Cobb,NYJ,WR,2023,14,8.5
R.Cobb,NYJ,WR,2023,15,0.0
R.Cobb,NYJ,WR,2023,18,1.4
T.Taylor,NYG,QB,2023,1,0.24
T.Taylor,NYG,QB,2023,3,0.2
T.Taylor,NYG,QB,2023,5,4.84
T.Taylor,NYG,QB,2023,6,10.4
T.Taylor,NYG,QB,2023,7,21.66
T.Taylor,NYG,QB,2023,8,3.62
T.Taylor,NYG,QB,2023,15,0.52
T.Taylor,NYG,QB,2023,16,9.42
T.Taylor,NYG,QB,2023,17,18.759999999999998
T.Taylor,NYG,QB,2023,18,17.68
J.Hekker,CAR,P,2023,6,0.28
J.Hekker,CAR,P,2023,14,-3.1
C.Keenum,HOU,QB,2023,15,11.26
C.Keenum,HOU,QB,2023,16,-1.52
B.Bolden,LV,RB,2023,15,8.5
B.Bolden,LV,RB,2023,16,2.0
B.Bolden,LV,RB,2023,17,0.6000000000000001
R.Wilson,DEN,QB,2023,1,15.18
R.Wilson,DEN,QB,2023,2,25.92
